Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C10,C11,C12,C13,C15,C18,C19,C20,C3,C35,C36,C37,C7,C8,C9",C_0603_1608Metric,C14663,15
1u,"C1,C21",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C15849,2
W25Q128JVPIQ,U1,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm,C190862,1
4.7uF,"C14,C16",C_0603_1608Metric,C19666,2
10uF,C17,C_0603_1608Metric,C19702,1
~,CN1,CONN-SMD_60P-P0.50_HCTL_HC-PBB23L-60DS-0.5V-G2-01,C22390096,1
1.5k,R21,R_0603_1608Metric,C22843,1
2K,R9,R_0603_1608Metric,C22975,1
27R,"R5,R6,R7",R_0603_1608Metric,C25224,3
100k 1% 0402,R1,R_0402_1005Metric,C25741,1
100K,"R2,R3,R8",R_0603_1608Metric,C25803,3
5.1k,"R18,R19",R_0402_1005Metric,C25905,2
TYPE-C_16PIN_2MD(073),USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,C2765186,1
TLV76733DRVR,"U4,U6",WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,C2848334,2
~,"CN2,CN3",CONN-SMD_2P-P1.50_XUNPU_WAFER-ZH1.5-2PWB,C3029422,2
~,"SW1,SW2",KEY-SMD_SKTDLHE010,C380198,2
12pF,"C5,C6",C_0603_1608Metric,C38523,2
3.3uH,L1,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,C42411119,1
RP235x-B,U5,QFN-80_EP_10x10_Pitch0.4mm,C42415655,1
22u 0805,"C22,C25,C4",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C45783,3
1N5817,D3,D_SOD-323,C5190152,1
CM4012M00012001,Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,C7294611,1
LED Test,D2,LED_0805_2012Metric,C7496841,1
10u,C23,C_0603_1608Metric,C96446,1
TPS62163DSG,U3,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,C97534,1
"2.2uH, 4.8mOhm",L2,L_Sunlord_SWPA4020S,C98361,1
TestPoint,TP6,TestPoint_Pad_1.5x1.5mm,,1
TestPoint,TP5,TestPoint_Pad_1.5x1.5mm,,1
TestPoint,TP4,TestPoint_Pad_1.5x1.5mm,,1
TestPoint,TP3,TestPoint_Pad_1.5x1.5mm,,1
TestPoint,TP2,TestPoint_Pad_1.5x1.5mm,,1
TestPoint,TP1,TestPoint_Pad_1.5x1.5mm,,1
